Date,mkt-rf,smb,hml,rf,mkt
1962-01-02,-0.008,0.0087,0.0058,0.00011000000000000002,-0.008110000000000001
1962-01-03,0.0024,0.0022,0.0097,0.00011000000000000002,0.00229
1962-01-04,-0.0083,0.0001,0.0066,0.00011000000000000002,-0.008409999999999999
1962-01-05,-0.0134,0.0007000000000000001,0.0032,0.00011000000000000002,-0.01351
1962-01-08,-0.0075,0.0022,0.0032,0.00011000000000000002,-0.0076100000000000004
1962-01-09,0.0002,-0.0012,0.0034000000000000002,0.00011000000000000002,8.999999999999999e-05
1962-01-10,-0.0024,0.0001,-0.002,0.00011000000000000002,-0.00251
1962-01-11,0.0060999999999999995,-0.0005,0.0008,0.00011000000000000002,0.00599
1962-01-12,0.0033,0.0018,0.0025,0.00011000000000000002,0.00319
1962-01-15,-0.0024,0.0007000000000000001,0.0007000000000000001,0.00011000000000000002,-0.00251
1962-01-16,-0.0053,0.0018,0.0004,0.00011000000000000002,-0.005410000000000001
1962-01-17,-0.0101,0.0025,0.0039000000000000003,0.00011000000000000002,-0.010209999999999999
1962-01-18,0.0005,0.0014000000000000002,-0.0003,0.00011000000000000002,0.00039
1962-01-19,0.005600000000000001,0.0040999999999999995,0.0023,0.00011000000000000002,0.00549
1962-01-22,-0.0002,-0.0009,-0.0016,0.00011000000000000002,-0.00031
1962-01-23,-0.0069,0.0013,0.001,0.00011000000000000002,-0.00701
1962-01-24,0.002,-0.0039000000000000003,0.0008,0.00011000000000000002,0.00189
1962-01-25,-0.0013,0.0018,0.0028000000000000004,0.00011000000000000002,-0.0014100000000000002
1962-01-26,-0.0029,-0.0003,0.0052,0.00011000000000000002,-0.00301
1962-01-29,-0.0033,-0.0024,0.0037,0.00011000000000000002,-0.0034100000000000003
1962-01-30,0.0033,-0.001,0.0024,0.00011000000000000002,0.00319
1962-01-31,0.009399999999999999,-0.0014000000000000002,-0.0026,0.00011000000000000002,0.00929
1962-02-01,0.0055000000000000005,-0.0053,0.0022,0.00011000000000000002,0.005390000000000001
1962-02-02,0.0077,-0.0025,0.0001,0.00011000000000000002,0.00759
1962-02-05,0.0016,0.0003,0.0006,0.00011000000000000002,0.00149
1962-02-06,0.0022,0.0004,-0.0022,0.00011000000000000002,0.00209
1962-02-07,0.006999999999999999,-0.0023,0.0018,0.00011000000000000002,0.006889999999999999
1962-02-08,0.0018,0.0008,-0.0016,0.00011000000000000002,0.0016899999999999999
1962-02-09,-0.001,0.0005,-0.0013,0.00011000000000000002,-0.00111
1962-02-12,-0.0004,-0.0004,0.003,0.00011000000000000002,-0.00051
1962-02-13,0.0002,0.002,0.0001,0.00011000000000000002,8.999999999999999e-05
1962-02-14,-0.0005,-0.0001,0.0012,0.00011000000000000002,-0.0006100000000000001
1962-02-15,0.0042,-0.0032,0.0027,0.00011000000000000002,0.00409
1962-02-16,-0.0023,0.0026,0.0013,0.00011000000000000002,-0.0024100000000000002
1962-02-19,-0.0024,-0.0019,0.0039000000000000003,0.00011000000000000002,-0.00251
1962-02-20,0.0033,-0.0024,0.001,0.00011000000000000002,0.00319
1962-02-21,-0.0049,0.0015,-0.0013,0.00011000000000000002,-0.00501
1962-02-23,-0.0021,-0.0007000000000000001,0.0004,0.00011000000000000002,-0.00221
1962-02-26,-0.005,-0.001,0.0003,0.00011000000000000002,-0.00511
1962-02-27,0.0014000000000000002,-0.0012,-0.0008,0.00011000000000000002,0.0012900000000000001
1962-02-28,0.0016,0.0016,-0.0033,0.00011000000000000002,0.00149
1962-03-01,0.0032,0.0,-0.0006,9e-05,0.00311
1962-03-02,-0.0007000000000000001,0.003,0.0,9e-05,-0.0007900000000000001
1962-03-05,-0.0022,0.0013,-0.0021,9e-05,-0.00229
1962-03-06,-0.0033,0.0034999999999999996,-0.0022,9e-05,-0.0033900000000000002
1962-03-07,-0.0012,-0.0001,-0.002,9e-05,-0.0012900000000000001
1962-03-08,0.0073,-0.0008,-0.0027,9e-05,0.007209999999999999
1962-03-09,0.0029,0.0019,-0.001,9e-05,0.0028099999999999996
1962-03-12,-0.0002,0.0023,-0.0028000000000000004,9e-05,-0.00029
1962-03-13,0.0028000000000000004,-0.003,0.0018,9e-05,0.00271
1962-03-14,0.004,-0.0027,-0.001,9e-05,0.00391
1962-03-15,0.0017000000000000001,-0.001,-0.0011,9e-05,0.00161
1962-03-16,-0.0008,0.0015,-0.0005,9e-05,-0.00089
1962-03-19,-0.0019,0.0002,0.0014000000000000002,9e-05,-0.00199
1962-03-20,-0.0026,-0.0009,0.0008,9e-05,-0.00269
1962-03-21,-0.0021,0.0003,0.0008,9e-05,-0.00219
1962-03-22,-0.0014000000000000002,0.004,-0.0036,9e-05,-0.0014900000000000002
1962-03-23,0.0008,-0.0007000000000000001,-0.0021,9e-05,0.0007100000000000001
1962-03-26,-0.0076,0.0023,-0.0014000000000000002,9e-05,-0.00769
1962-03-27,-0.0027,-0.0012,0.003,9e-05,-0.0027900000000000004
1962-03-28,0.0049,-0.001,0.0015,9e-05,0.00481
1962-03-29,-0.0009,0.0013,-0.002,9e-05,-0.00099
1962-03-30,-0.0066,-0.0034999999999999996,-0.0001,9e-05,-0.006690000000000001
1962-04-02,-0.0031,-0.0001,-0.0013,0.00011000000000000002,-0.00321
1962-04-03,-0.0083,-0.0011,0.0,0.00011000000000000002,-0.008409999999999999
1962-04-04,-0.0054,-0.0004,0.0006,0.00011000000000000002,-0.00551
1962-04-05,0.0060999999999999995,-0.0012,-0.0004,0.00011000000000000002,0.00599
1962-04-06,-0.0009,0.0023,0.0005,0.00011000000000000002,-0.0010099999999999998
1962-04-09,-0.0079,-0.0034999999999999996,-0.001,0.00011000000000000002,-0.00801
1962-04-10,0.0032,-0.0013,0.0002,0.00011000000000000002,0.00309
1962-04-11,-0.002,0.0022,0.0007000000000000001,0.00011000000000000002,-0.0021100000000000003
1962-04-12,-0.010700000000000001,-0.001,0.0,0.00011000000000000002,-0.01081
1962-04-13,0.0013,-0.0018,0.0011,0.00011000000000000002,0.00119
1962-04-16,-0.0038,-0.0015,0.0014000000000000002,0.00011000000000000002,-0.00391
1962-04-17,0.0051,-0.0039000000000000003,0.0024,0.00011000000000000002,0.00499
1962-04-18,0.0054,0.001,0.0022,0.00011000000000000002,0.00529
1962-04-19,0.0048,0.0012,-0.0018,0.00011000000000000002,0.00469
1962-04-23,-0.0013,0.0009,-0.0052,0.00011000000000000002,-0.0014100000000000002
1962-04-24,-0.0012,0.0013,-0.0011,0.00011000000000000002,-0.00131
1962-04-25,-0.011399999999999999,0.0008,0.0008,0.00011000000000000002,-0.011509999999999998
