00000000000003 1983-11-210.205089688301086435.135416505.08330005.177083492279053
00000000000002 1983-11-2200.20342554152011870005.093755.13540005.135416507720947
00000000000001 1983-11-2300.20259360969066625.072916505.09370005.104166507720947
00000000000003 1983-11-250.203009560704231265.083333495.07290005.104166507720947
00000000000004 1983-11-280.200929626822471620005.031255.083300000000000005.09375
00000000000002 1983-11-2900.19760158658027654.947916505.02080005.020833492279053
00000000000003 1983-11-300.196353614330291754.916666504.947900000000000004.96875
00000000000009 1983-12-0100.19843353331089020004.968754.92700004.979166507720947
00000000000001 1983-12-0200.19760158658027654.947916504.968700000000000004.96875
00000000000001 1983-12-0500.19676959514617924.927083494.94790004.958333492279053
00000000000002 1983-12-060.195937469601631160004.906254.9270000000000000004.9375
00000000000006 1983-12-070.195105537772178654.885416504.90620004.927083492279053
00000000000006 1983-12-080.195105537772178654.885416504.885400000000000004.90625
00000000000006 1983-12-090.193857476115226754.854166504.88540004.885416507720947
00000000000003 1983-12-120.194273546338081364.864583494.85410000000000000004.875
00000000000007 1983-12-130.195937469601631160004.906254.86450004.927083492279053
00000000000004 1983-12-140.196353614330291754.916666504.90620004.979166507720947
00000000000003 1983-12-150.195105537772178654.885416504.91660004.927083492279053
00000000000003 1983-12-160.195105537772178654.885416504.88540004.916666507720947
00000000000003 1983-12-190.195105537772178654.885416504.88540004.895833492279053
00000000000002 1983-12-200.195937469601631160004.906254.885400000000000004.90625
00000000000007 1983-12-210.196353614330291754.916666504.90620004.916666507720947
00000000000007 1983-12-220.195105537772178654.885416504.91660004.927083492279053
00000000000003 1983-12-230.195521622896194464.895833494.88540004.895833492279053
00000000000002 1983-12-270.195105537772178654.885416504.89580004.895833492279053
00000000000005 1983-12-280.1971855908632278400004.93754.8854000000000000004.9375
00000000000004 1983-12-2900.19676959514617924.927083494.9375000000000000004.9375
00000000000002 1983-12-300.195937469601631160004.906254.92700004.958333492279053
00000000000002 1984-01-030.203009560704231265.083333494.916600000000000005.09375
00000000000006 1984-01-040.212993681430816655.333333495.13540000000000000005.375
00000000000004 1984-01-0500.212161615490913400005.31255.33330005.427083492279053
00000000000004 1984-01-060.2071696966886520400005.18755.31250005.333333492279053
00000000000003 1984-01-0900.20633760094642645.166666505.18750005.197916507720947
00000000000003 1984-01-1000.20633760094642645.166666505.1666000000000000005.1875
00000000000004 1984-01-110.207585513591766365.197916505.17700005.239583492279053
00000000000002 1984-01-1200.20800153911113745.208333495.19790005.229166507720947
